Period,Quarter,FL US Equity,FL_US_Equity_ActualValue,Units_at_51.46,Rounded_Units_at_51.46,Scaled_Units_at_51.46,Rounded_Scaled_Units_at_51.46,Units_at_46.88,Rounded_Units_at_46.88,Scaled_Units_at_46.88,Rounded_Scaled_Units_at_46.88154624,Units_at_54.68,Rounded_Units_at_54.68,Scaled_Units_at_54.68,Rounded_Scaled_Units_at_54.68,Units_at_49.53,Rounded_Units_at_49.53,Scaled_Units_at_49.53,Rounded_Scaled_Units_at_49.53,Units_at_48.36,Rounded_Units_at_48.36,Scaled_Units_at_48.36,Rounded_Scaled_Units_at_48.36,Mixed_51_46,
02/02/08,Q1 2008,34.5865,34586500,672079.6041,672080,6.720796041,7,737742.3053,737742,7.377423053,7,632457.4928,632457,6.324574928,6,698188.1045,698188,6.981881045,7,715139.2733,715139,7.151392733,7,737742,
03/05/08,Q2 2008,29.5159,29515900,573548.4767,573548,5.735484767,6,629584.6099,629585,6.295846099,6,539735.2178,539735,5.397352178,5,595829.3055,595829,5.958293055,6,610295.3255,610295,6.102953255,6,629585,
02/08/08,Q3 2008,29.4533,29453300,572332.043,572332,5.72332043,6,628249.3297,628249,6.282493297,6,538590.4984,538590,5.385904984,5,594565.6166,594566,5.945656166,6,609000.9558,609001,6.090009558,6,628249,
01/11/08,Q4 2008,29.8602,29860200,580238.8619,580239,5.802388619,6,636928.6509,636929,6.369286509,6,546031.1748,546031,5.460311748,5,602779.5943,602780,6.027795943,6,617414.359,617414,6.17414359,6,636929,
31/01/09,Q1 2009,29.3907,29390700,571115.6093,571116,5.711156093,6,626914.0495,626914,6.269140495,6,537445.7789,537446,5.374457789,5,593301.9277,593302,5.933019277,6,607706.5861,607707,6.077065861,6,626914,
02/05/09,Q2 2009,26.918,26918000,523066.4792,523066,5.230664792,5,574170.482,574170,5.74170482,6,492229.3609,492229,4.922293609,5,543386.2171,543386,5.433862171,5,556578.9819,556579,5.565789819,6,574170,
01/08/09,Q3 2009,25.6347,25634700,498129.5889,498130,4.981295889,5,546797.2381,546797,5.467972381,5,468762.6123,468763,4.687626123,5,517480.5951,517481,5.174805951,5,530044.4026,530044,5.300444026,5,546797,
31/10/09,Q4 2009,27.7005,27700500,538271.9001,538272,5.382719001,5,590861.4844,590861,5.908614844,6,506538.3539,506538,5.065383539,5,559182.3281,559182,5.591823281,6,572758.6035,572759,5.727586035,6,590861,
30/01/10,Q1 2010,29.9854,29985400,582671.7292,582672,5.826717292,6,639599.2113,639599,6.395992113,6,548320.6136,548321,5.483206136,5,605306.9721,605307,6.053069721,6,620003.0985,620003,6.200030985,6,639599,
01/05/10,Q2 2010,27.7944,27794400,540096.5507,540097,5.400965507,5,592864.4046,592864,5.928644046,6,508255.4331,508255,5.082554331,5,561077.8614,561078,5.610778614,6,574700.1581,574700,5.747001581,6,592864,
31/07/10,Q3 2010,24.7583,24758300,481099.5175,481100,4.810995175,5,528103.3154,528103,5.281033154,5,452736.5401,452737,4.527365401,5,499788.9508,499789,4.997889508,5,511923.2264,511923,5.119232264,5,528103,
30/10/10,Q4 2010,27.9196,27919600,542529.418,542529,5.42529418,5,595534.965,595535,5.95534965,6,510544.872,510545,5.10544872,5,563605.2391,563605,5.636052391,6,577288.8975,577289,5.772888975,6,595535,
29/01/11,Q1 2011,30.1106,30110600,585104.5965,585105,5.851045965,6,642269.7717,642270,6.422697717,6,550610.0525,550610,5.506100525,6,607834.3498,607834,6.078343498,6,622591.8379,622592,6.225918379,6,642270,
30/04/11,Q2 2011,30.5801,30580100,594227.8491,594228,5.942278491,6,652284.3731,652284,6.522843731,7,559195.4484,559195,5.591954484,6,617312.0164,617312,6.173120164,6,632299.6109,632300,6.322996109,6,652284,
30/07/11,Q3 2011,27.7631,27763100,539488.3338,539488,5.394883338,5,592196.7645,592197,5.921967645,6,507683.0734,507683,5.076830734,5,560446.0169,560446,5.604460169,6,574052.9732,574053,5.740529732,6,592197,
29/10/11,Q4 2011,29.4533,29453300,572332.043,572332,5.72332043,6,628249.3297,628249,6.282493297,6,538590.4984,538590,5.385904984,5,594565.6166,594566,5.945656166,6,609000.9558,609001,6.090009558,6,628249,
28/01/12,Q1 2012,31.9886,31988600,621597.6067,621598,6.215976067,6,682328.1774,682328,6.823281774,7,584951.6358,584952,5.849516358,6,645745.0161,645745,6.457450161,6,661422.9297,661423,6.614229297,7,682328,
28/04/12,Q2 2012,32.5833,32583300,633153.7266,633154,6.331537266,6,695013.3392,695013,6.950133392,7,595826.4706,595826,5.958264706,6,657750.0605,657750,6.577500605,7,673719.4421,673719,6.737194421,7,695013,
28/07/12,Q3 2012,29.3907,29390700,571115.6093,571116,5.711156093,6,626914.0495,626914,6.269140495,6,537445.7789,537446,5.374457789,5,593301.9277,593302,5.933019277,6,607706.5861,607707,6.077065861,6,626914,
27/10/12,Q4 2012,31.8947,31894700,619772.9562,619773,6.197729562,6,680325.2571,680325,6.803252571,7,583234.5567,583235,5.832345567,6,643849.4828,643849,6.438494828,6,659481.3751,659481,6.594813751,7,680325,
02/02/13,Q1 2013,35.9637,35963700,698841.1449,698841,6.988411449,7,767118.4695,767118,7.671184695,8,657641.3205,657641,6.576413205,7,725989.2598,725989,7.259892598,7,743615.4072,743615,7.436154072,7,767118,
