Week,Retailer_Inventory,Wholesaler_Inventory,Distributor_Inventory,Factory_Inventory,Retailer_Backlog,Wholesaler_Backlog,Distributor_Backlog,Factory_Backlog,Retailer_OrdersPlaced,Wholesaler_OrdersPlaced,Distributor_OrdersPlaced,Factory_OrdersPlaced,Retailer_IncomingReceived,Wholesaler_IncomingReceived,Distributor_IncomingReceived,Factory_IncomingReceived,Retailer_WeeklyOpCost,Wholesaler_WeeklyOpCost,Distributor_WeeklyOpCost,Factory_WeeklyOpCost,Retailer_CumulativeOpCost,Wholesaler_CumulativeOpCost,Distributor_CumulativeOpCost,Factory_CumulativeOpCost,Retailer_GasCost,Wholesaler_GasCost,Distributor_GasCost,Factory_GasCost,Retailer_TotalGasCost,Wholesaler_TotalGasCost,Distributor_TotalGasCost,Factory_TotalGasCost,Retailer_TotalCostWithGas,Wholesaler_TotalCostWithGas,Distributor_TotalCostWithGas,Factory_TotalCostWithGas,System_Gas
0,12,12,12,12,0,0,0,0,6,5,5,5,4,4,4,4,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,0,6,6,6,6,0
1,9,10,11,16,0,0,0,0,6,5,5,4,4,4,4,4,4.5,5,5.5,8,0,0,0,0,10.5,11,11.5,14,0,0,0,0,4.5,5,5.5,8,0
2,7,8,10,15,0,0,0,0,7,6,5,5,4,4,4,4,3.5,4,5,7.5,0,0,0,0,14,15,16.5,21.5,0,0,0,0,3.5,4,5,7.5,0
3,7,6,9,15,0,0,0,0,7,7,6,5,6,5,5,4,3.5,3,4.5,7.5,0,0,0,0,17.5,18,21,29,0,0,0,0,3.5,3,4.5,7.5,0
4,7,4,7,14,0,0,0,0,7,8,7,6,6,5,5,4,3.5,2,3.5,7,0,0,0,0,21,20,24.5,36,0,0,0,0,3.5,2,3.5,7,0
5,8,3,4,13,0,0,0,0,6,8,8,6,7,6,5,4,4,1.5,2,6.5,0,0,0,0,25,21.5,26.5,42.5,0,0,0,0,4,1.5,2,6.5,0
6,10,4,2,11,0,0,0,0,5,8,9,8,7,7,6,4,5,2,1,5.5,0,0,0,0,30,23.5,27.5,48,0,0,0,0,5,2,1,5.5,0
7,12,7,1,10,0,0,0,0,5,6,9,9,7,8,7,4,6,3.5,0.5,5,0,0,0,0,36,27,28,53,0,0,0,0,6,3.5,0.5,5,0
8,12,10,3,10,0,0,0,0,6,5,8,9,6,8,8,4,6,5,1.5,5,0,0,0,0,42,32,29.5,58,0,0,0,0,6,5,1.5,5,0
9,11,12,7,11,0,0,0,0,6,5,7,9,5,8,9,4,5.5,6,3.5,5.5,0,0,0,0,47.5,38,33,63.5,0,0,0,0,5.5,6,3.5,5.5,0
