Period,Customer → FL Orders ($),FL → Crocs Orders ($),Crocs → YY Orders ($),YY → SF Orders ($)
H1 2013,136.0506,69.6738,27.3876329,13.97249963
H2 2013,124.8856,65.2918,23.1254205,13.53888192
H1 2014,148.5554,76.0903,29.3198737,14.66712208
H2 2014,136.9032,71.1449,24.4254077,14.51192544
H1 2015,155.3762,79.1264,25.7783488,15.72125256
H2 2015,141.6534,72.8977,25.6521287,14.225592
H1 2016,162.1564,82.0999,26.9614294,15.411058
H2 2016,148.8396,76.3407,20.5914389,14.64695789
H1 2017,167.0284,85.1673,24.6352719,15.86753771
H2 2017,144.9826,77.8744,20.2728285,15.80099117
H1 2018,171.941,90.0188,25.7122673,17.11774043
H2 2018,147.8652,78.7195,21.1258564,16.77236544
H1 2019,176.61,91.5838,29.0806498,18.17006256
H2 2019,150.4636,79.8776,25.3400821,14.36326963
H1 2020,137.9182,75.9338,26.4870618,15.56020877
H2 2020,169.8298,93.7435,29.9264043,15.75925997
H1 2021,176.2852,89.7997,40.1341777,17.07253163
H2 2021,181.2384,90.9578,39.0923075,15.95966246
H1 2022,183.5932,93.9939,71.1437864,17.28963434
H2 2022,172.1846,90.3944,79.1763697,14.03077133
H1 2023,173.2808,93.3053,76.1805272,15.20000227
H2 2023,156.4318,87.64,79.2517647,13.42605312
H1 2024,173.0778,96.4353,75.0527954,14.54489088 
