Period,Customer → FL Orders ($),FL → Crocs Orders ($),Crocs → YY Orders ($),YY → SF Orders ($)
H1 2013,9,8,7,9
H2 2013,8,8,6,9
H1 2014,9,9,8,10
H2 2014,9,9,6,9
H1 2015,10,10,7,10
H2 2015,9,9,7,9
H1 2016,10,10,7,10
H2 2016,9,9,5,10
H1 2017,11,10,7,10
H2 2017,9,9,5,10
H1 2018,11,11,7,11
H2 2018,9,9,6,11
H1 2019,11,11,8,12
H2 2019,10,10,7,9
H1 2020,9,9,7,10
H2 2020,11,11,8,10
H1 2021,11,11,11,11
H2 2021,11,11,10,10
H1 2022,12,11,19,11
H2 2022,11,11,21,9
H1 2023,11,11,20,10
H2 2023,10,11,21,9
H1 2024,11,12,20,9
