Period,Quarter,FL US Equity
02/02/08,Q1 2008,34.5865
03/05/08,Q2 2008,29.5159
02/08/08,Q3 2008,29.4533
01/11/08,Q4 2008,29.8602
31/01/09,Q1 2009,29.3907
02/05/09,Q2 2009,26.918
01/08/09,Q3 2009,25.6347
31/10/09,Q4 2009,27.7005
30/01/10,Q1 2010,29.9854
01/05/10,Q2 2010,27.7944
31/07/10,Q3 2010,24.7583
30/10/10,Q4 2010,27.9196
29/01/11,Q1 2011,30.1106
30/04/11,Q2 2011,30.5801
30/07/11,Q3 2011,27.7631
29/10/11,Q4 2011,29.4533
28/01/12,Q1 2012,31.9886
28/04/12,Q2 2012,32.5833
28/07/12,Q3 2012,29.3907
27/10/12,Q4 2012,31.8947
02/02/13,Q1 2013,35.9637
04/05/13,Q2 2013,33.7101
03/08/13,Q3 2013,31.3313
02/11/13,Q4 2013,33.9605
01/02/14,Q1 2014,37.8417
03/05/14,Q2 2014,38.2486
02/08/14,Q3 2014,34.9308
01/11/14,Q4 2014,36.2141
31/01/15,Q1 2015,40.1266
02/05/15,Q2 2015,38.9998
01/08/15,Q3 2015,35.7446
31/10/15,Q4 2015,37.1531
30/01/16,Q1 2016,41.6916
30/04/16,Q2 2016,40.4083
30/07/16,Q3 2016,37.3409
29/10/16,Q4 2016,38.9998
28/01/17,Q1 2017,43.82
29/04/17,Q2 2017,41.3473
29/07/17,Q3 2017,37.4974
28/10/17,Q4 2017,40.377
03/02/18,Q1 2018,47.4821
05/05/18,Q2 2018,42.5367
04/08/18,Q3 2018,38.9059
03/11/18,Q4 2018,39.8136
02/02/19,Q1 2019,48.1081
04/05/19,Q2 2019,43.4757
03/08/19,Q3 2019,38.812
02/11/19,Q4 2019,41.0656
01/02/20,Q1 2020,47.6073
02/05/20,Q2 2020,28.3265
01/08/20,Q3 2020,48.1707
31/10/20,Q4 2020,45.5728
30/01/21,Q1 2021,45.8545
01/05/21,Q2 2021,43.9452
31/07/21,Q3 2021,46.2301
30/10/21,Q4 2021,44.7277
29/01/22,Q1 2022,49.0784
30/04/22,Q2 2022,44.9155
30/07/22,Q3 2022,44.1643
29/10/22,Q4 2022,46.2301
28/01/23,Q1 2023,51.0816
29/04/23,Q2 2023,42.2237
29/07/23,Q3 2023,42.4741
28/10/23,Q4 2023,45.1659
03/02/24,Q1 2024,54.6498
04/05/24,Q2 2024,41.7855
03/08/24,Q3 2024,42.9749
02/11/24,Q4 2024,43.1314
01/02/25,Q1 2025,49.454
