Period,Quarter,FL US Equity,FL_US_Equity_ActualValue,Units_at_40,Scaled_Units_at_40,Rounded_Scaled_Units_at_40,Units_at_48,Scaled_Units_at_48,Rounded_Scaled_Units_at_48,Units_at_49,Scaled_Units_at_49,Rounded_Scaled_Units_at_49,Units_at_50,Scaled_Units_at_50,Rounded_Scaled_Units_at_50,Units_at_51,Scaled_Units_at_51,Rounded_Scaled_Units_at_51,Units_at_55,Scaled_Units_at_55,Rounded_Scaled_Units_at_55,Units_at_60,Scaled_Units_at_60,Rounded_Scaled_Units_at_60,Floored_Scaled_Units_at_50,Ceiled_Scaled_Units_at_50
02/02/08,Q1 2008,34.5865,34586500.0,864662.5,8.646625,9,720552.0833333334,7.205520833333334,7,705846.9387755102,7.0584693877551015,7,691730.0,6.9173,7,678166.6666666666,6.781666666666666,7,628845.4545454546,6.288454545454546,6,576441.6666666666,5.7644166666666665,6,6,7
03/05/08,Q2 2008,29.5159,29515900.0,737897.5,7.378975,7,614914.5833333334,6.149145833333334,6,602365.306122449,6.02365306122449,6,590318.0,5.90318,6,578743.1372549019,5.787431372549019,6,536652.7272727273,5.366527272727273,5,491931.6666666667,4.919316666666667,5,5,6
02/08/08,Q3 2008,29.4533,29453300.0,736332.5,7.363325,7,613610.4166666666,6.136104166666667,6,601087.7551020408,6.010877551020409,6,589066.0,5.89066,6,577515.6862745098,5.7751568627450975,6,535514.5454545454,5.355145454545454,5,490888.3333333333,4.908883333333333,5,5,6
01/11/08,Q4 2008,29.8602,29860200.0,746505.0,7.46505,7,622087.5,6.220875,6,609391.8367346938,6.093918367346938,6,597204.0,5.97204,6,585494.1176470588,5.854941176470588,6,542912.7272727273,5.429127272727273,5,497670.0,4.9767,5,5,6
31/01/09,Q1 2009,29.3907,29390700.0,734767.5,7.347675,7,612306.25,6.1230625,6,599810.2040816327,5.998102040816327,6,587814.0,5.87814,6,576288.2352941176,5.762882352941176,6,534376.3636363636,5.3437636363636365,5,489845.0,4.89845,5,5,6
02/05/09,Q2 2009,26.918,26918000.0,672950.0,6.7295,7,560791.6666666666,5.607916666666666,6,549346.9387755102,5.493469387755102,5,538360.0,5.3836,5,527803.9215686275,5.278039215686275,5,489418.1818181818,4.894181818181818,5,448633.3333333333,4.4863333333333335,4,5,6
01/08/09,Q3 2009,25.6347,25634700.0,640867.5,6.408675,6,534056.25,5.3405625,5,523157.14285714284,5.231571428571429,5,512694.0,5.12694,5,502641.17647058825,5.026411764705882,5,466085.45454545453,4.660854545454545,5,427245.0,4.27245,4,5,6
31/10/09,Q4 2009,27.7005,27700500.0,692512.5,6.925125,7,577093.75,5.7709375,6,565316.3265306122,5.653163265306122,6,554010.0,5.5401,6,543147.0588235294,5.431470588235294,5,503645.45454545453,5.0364545454545455,5,461675.0,4.61675,5,5,6
30/01/10,Q1 2010,29.9854,29985400.0,749635.0,7.49635,7,624695.8333333334,6.246958333333334,6,611946.9387755102,6.119469387755101,6,599708.0,5.99708,6,587949.0196078431,5.879490196078431,6,545189.0909090909,5.45189090909091,5,499756.6666666667,4.997566666666667,5,5,6
01/05/10,Q2 2010,27.7944,27794400.0,694860.0,6.9486,7,579050.0,5.7905,6,567232.6530612245,5.672326530612245,6,555888.0,5.55888,6,544988.2352941176,5.4498823529411755,5,505352.7272727273,5.053527272727273,5,463240.0,4.6324,5,5,6
