Period,Quarter,FL US Equity,Scaled Value (Exact),Scaled Value (Integer)
02/02/08,Q1 2008,34.5865,5.442443133149328,5
03/05/08,Q2 2008,29.5159,4.644546492814313,5
02/08/08,Q3 2008,29.4533,4.634695917007708,5
01/11/08,Q4 2008,29.8602,4.698724659750641,5
31/01/09,Q1 2009,29.3907,4.624845341201103,5
02/05/09,Q2 2009,26.918,4.2357475968402,4
01/08/09,Q3 2009,25.6347,4.033810792804796,4
31/10/09,Q4 2009,27.7005,4.358879794422765,4
30/01/10,Q1 2010,29.9854,4.7184258113638515,5
01/05/10,Q2 2010,27.7944,4.373655658132672,4
31/07/10,Q3 2010,24.7583,3.895902731512324,4
30/10/10,Q4 2010,27.9196,4.393356809745883,4
29/01/11,Q1 2011,30.1106,4.738126962977062,5
30/04/11,Q2 2011,30.5801,4.8120062815266005,5
30/07/11,Q3 2011,27.7631,4.36873037022937,4
29/10/11,Q4 2011,29.4533,4.634695917007708,5
28/01/12,Q1 2012,31.9886,5.033644237175215,5
28/04/12,Q2 2012,32.5833,5.127224707337964,5
28/07/12,Q3 2012,29.3907,4.624845341201103,5
27/10/12,Q4 2012,31.8947,5.018868373465308,5
02/02/13,Q1 2013,35.9637,5.6591558008946405,6
04/05/13,Q2 2013,33.7101,5.304535071856855,5
03/08/13,Q3 2013,31.3313,4.930213191205861,5
02/11/13,Q4 2013,33.9605,5.343937375083277,5
01/02/14,Q1 2014,37.8417,5.954673075092794,6
03/05/14,Q2 2014,38.2486,6.018701817835727,6
02/08/14,Q3 2014,34.9308,5.496621300085655,5
01/11/14,Q4 2014,36.2141,5.698558104121061,6
31/01/15,Q1 2015,40.1266,6.314219092033881,6
02/05/15,Q2 2015,38.9998,6.136908727514989,6
01/08/15,Q3 2015,35.7446,5.624678785571522,6
31/10/15,Q4 2015,37.1531,5.846316741220138,6
30/01/16,Q1 2016,41.6916,6.560483487199009,7
30/04/16,Q2 2016,40.4083,6.3585466831636035,6
30/07/16,Q3 2016,37.3409,5.875868468639952,6
29/10/16,Q4 2016,38.9998,6.136908727514989,6
28/01/17,Q1 2017,43.82,6.895403064623583,7
29/04/17,Q2 2017,41.3473,6.50630532026268,7
29/07/17,Q3 2017,37.4974,5.900494908156466,6
28/10/17,Q4 2017,40.377,6.353621395260301,6
03/02/18,Q1 2018,47.4821,7.471661749309982,7
05/05/18,Q2 2018,42.5367,6.6934662605881785,7
04/08/18,Q3 2018,38.9059,6.122132863805081,6
03/11/18,Q4 2018,39.8136,6.264966213000855,6
02/02/19,Q1 2019,48.1081,7.570167507376033,8
04/05/19,Q2 2019,43.4757,6.841224897687255,7
03/08/19,Q3 2019,38.812,6.107357000095173,6
02/11/19,Q4 2019,41.0656,6.461977729132958,6
01/02/20,Q1 2020,47.6073,7.491362900923193,7
02/05/20,Q2 2020,28.3265,4.457385552488816,4
01/08/20,Q3 2020,48.1707,7.580018083182638,8
31/10/20,Q4 2020,45.5728,7.171219187208526,7
30/01/21,Q1 2021,45.8545,7.215546778338249,7
01/05/21,Q2 2021,43.9452,6.915104216236792,7
31/07/21,Q3 2021,46.2301,7.27465023317788,7
30/10/21,Q4 2021,44.7277,7.038236413819356,7
29/01/22,Q1 2022,49.0784,7.7228514323784125,8
30/04/22,Q2 2022,44.9155,7.0677881412391725,7
30/07/22,Q3 2022,44.1643,6.94958123155991,7
29/10/22,Q4 2022,46.2301,7.27465023317788,7
28/01/23,Q1 2023,51.0816,8.038069858189777,8
29/04/23,Q2 2023,42.2237,6.6442133815551525,7
29/07/23,Q3 2023,42.4741,6.683615684781572,7
28/10/23,Q4 2023,45.1659,7.1071904444655924,7
03/02/24,Q1 2024,54.6498,8.599552679166267,9
04/05/24,Q2 2024,41.7855,6.575259350908916,7
03/08/24,Q3 2024,42.9749,6.762420291234413,7
02/11/24,Q4 2024,43.1314,6.787046730750926,7
01/02/25,Q1 2025,49.454,7.781954887218043,8
